G000008085	G000008085_ARCH_DPANN
G000220355	G000220355_ARCH_DPANN
G000220375	G000220375_ARCH_DPANN
G000380905	G000380905_ARCH_DPANN
G000387965	G000387965_ARCH_DPANN
G000402355	G000402355_ARCH_DPANN
G000402515	G000402515_ARCH_DPANN
G000405225	G000405225_ARCH_DPANN
G000405245	G000405245_ARCH_DPANN
G000494105	G000494105_ARCH_DPANN
G000805935	G000805935_ARCH_DPANN
G000805965	G000805965_ARCH_DPANN
G000805995	G000805995_ARCH_DPANN
G000806015	G000806015_ARCH_DPANN
G000806055	G000806055_ARCH_DPANN
G000806095	G000806095_ARCH_DPANN
G000806115	G000806115_ARCH_DPANN
G000806135	G000806135_ARCH_DPANN
G000806155	G000806155_ARCH_DPANN
G000830275	G000830275_ARCH_DPANN
G000830295	G000830295_ARCH_DPANN
G000830315	G000830315_ARCH_DPANN
G001552015	G001552015_ARCH_DPANN
G001563875	G001563875_ARCH_DPANN
G001563905	G001563905_ARCH_DPANN
G001563915	G001563915_ARCH_DPANN
G001563995	G001563995_ARCH_DPANN
G001564035	G001564035_ARCH_DPANN
G001564145	G001564145_ARCH_DPANN
G001564195	G001564195_ARCH_DPANN
G001595785	G001595785_ARCH_DPANN
G001761425	G001761425_ARCH_DPANN
G001784635	G001784635_ARCH_DPANN
G001786395	G001786395_ARCH_DPANN
G001786415	G001786415_ARCH_DPANN
G001787285	G001787285_ARCH_DPANN
G001871415	G001871415_ARCH_DPANN
G001871475	G001871475_ARCH_DPANN
G001871495	G001871495_ARCH_DPANN
G001871535	G001871535_ARCH_DPANN
G001871595	G001871595_ARCH_DPANN
G001871605	G001871605_ARCH_DPANN
G001871655	G001871655_ARCH_DPANN
G001872125	G001872125_ARCH_DPANN
G001872145	G001872145_ARCH_DPANN
G001872185	G001872185_ARCH_DPANN
G001872315	G001872315_ARCH_DPANN
G001872325	G001872325_ARCH_DPANN
G001872765	G001872765_ARCH_DPANN
G001872795	G001872795_ARCH_DPANN
G001872825	G001872825_ARCH_DPANN
G001872885	G001872885_ARCH_DPANN
G001873985	G001873985_ARCH_DPANN
G001889985	G001889985_ARCH_DPANN
G001896515	G001896515_ARCH_DPANN
G002068885	G002068885_ARCH_DPANN
G002069705	G002069705_ARCH_DPANN
G002204695	G002204695_ARCH_DPANN
G002214165	G002214165_ARCH_DPANN
G002254395	G002254395_ARCH_DPANN
G002254545	G002254545_ARCH_DPANN
G002254805	G002254805_ARCH_DPANN
G002412065	G002412065_ARCH_DPANN
G002412085	G002412085_ARCH_DPANN
G002494525	G002494525_ARCH_DPANN
G002495465	G002495465_ARCH_DPANN
G002496015	G002496015_ARCH_DPANN
G002496215	G002496215_ARCH_DPANN
G002497285	G002497285_ARCH_DPANN
G002498125	G002498125_ARCH_DPANN
G002498635	G002498635_ARCH_DPANN
G002498685	G002498685_ARCH_DPANN
G002499095	G002499095_ARCH_DPANN
G002499185	G002499185_ARCH_DPANN
G002499375	G002499375_ARCH_DPANN
G002499405	G002499405_ARCH_DPANN
G002499505	G002499505_ARCH_DPANN
G002499655	G002499655_ARCH_DPANN
G002501775	G002501775_ARCH_DPANN
G002501985	G002501985_ARCH_DPANN
G002502045	G002502045_ARCH_DPANN
G002502135	G002502135_ARCH_DPANN
G002502525	G002502525_ARCH_DPANN
G002502725	G002502725_ARCH_DPANN
G002503145	G002503145_ARCH_DPANN
G002503215	G002503215_ARCH_DPANN
G002503225	G002503225_ARCH_DPANN
G002503305	G002503305_ARCH_DPANN
G002503425	G002503425_ARCH_DPANN
G002503705	G002503705_ARCH_DPANN
G002503745	G002503745_ARCH_DPANN
