id	observed	expected
G000737335	p__	p__Proteobacteria
G003390865	p__	p__Proteobacteria
G000520595	p__	p__Terrabacteria_group
G006517435	p__	p__Terrabacteria_group
G000979825	p__	p__Stenosarchaea_group
G000383415	p__	p__Proteobacteria
G001543005	p__	p__Proteobacteria
G000478785	p__	p__Terrabacteria_group
G001872575	p__	p__Candidatus_Peregrinibacteria
G003354135	p__	p__Proteobacteria
G001870675	p__	p__Proteobacteria
G001799065	p__	p__Proteobacteria
G001884705	p__	p__Terrabacteria_group
G900227605	p__	p__FCB_group
G001000955	p__	p__Parcubacteria_group
G000523275	p__	p__Proteobacteria
G003265975	p__	p__Terrabacteria_group
G000702305	p__	p__Proteobacteria
G000768065	p__	p__Proteobacteria
G000721105	p__	p__Terrabacteria_group
G000756305	p__	p__Terrabacteria_group
G000482725	p__	p__Proteobacteria
G000474945	p__	p__Proteobacteria
G000172475	p__	p__Proteobacteria
G000069185	p__	p__Terrabacteria_group
G000317085	p__	p__Terrabacteria_group
G900177405	p__	p__Proteobacteria
G000350525	p__	p__Terrabacteria_group
G000376265	p__	p__Terrabacteria_group
G002070645	p__	p__candidate_division_TA06
G000414465	p__	p__Terrabacteria_group
G001705425	p__	p__Proteobacteria
G009391415	p__	p__Terrabacteria_group
G003345655	p__	p__Proteobacteria
G008015595	p__	p__Proteobacteria
G000271305	p__	p__Proteobacteria
G001654795	p__	p__Proteobacteria
G002424725	p__	p__Acidobacteria
G001866515	p__	p__Proteobacteria
G001795285	p__	p__Terrabacteria_group
G001610975	p__	p__Proteobacteria
G002030015	p__	p__Proteobacteria
G000164135	p__	p__Terrabacteria_group
G902788545	p__	p__Terrabacteria_group
G002727195	p__	p__FCB_group
G003216275	p__	p__Terrabacteria_group
G001720135	p__	p__Proteobacteria
G004216855	p__	p__Terrabacteria_group
G001562125	p__	p__Proteobacteria
G001788885	p__	p__Candidatus_Peregrinibacteria
G001508815	p__	p__Euryarchaeota
G002869165	p__	p__Parcubacteria_group
G900103035	p__	p__Proteobacteria
G001418475	p__	p__Terrabacteria_group
G000158955	p__	p__Terrabacteria_group
G000711295	p__	p__Proteobacteria
G902560725	p__	p__Proteobacteria
G001829555	p__	p__Proteobacteria
G000325165	p__	p__Proteobacteria
G001696485	p__	p__Terrabacteria_group
G001996265	p__	p__Proteobacteria
G001437695	p__	p__Terrabacteria_group
G001657385	p__	p__Proteobacteria
G001830425	p__	p__Proteobacteria
G000341345	p__	p__Terrabacteria_group
G001466665	p__	p__Terrabacteria_group
G000996575	p__	p__Parcubacteria_group
G001507975	p__	p__Euryarchaeota
G000179255	p__	p__Terrabacteria_group
G001656475	p__	p__Proteobacteria
G000466165	p__	p__Terrabacteria_group
G012034815	p__	p__Terrabacteria_group
G000309945	p__	p__Terrabacteria_group
G002117145	p__	p__Proteobacteria
G005223185	p__	p__FCB_group
G000341185	p__	p__Terrabacteria_group
G000745545	p__	p__Proteobacteria
G000019485	p__	p__Terrabacteria_group
G000266945	p__	p__Proteobacteria
G002375465	p__	p__Proteobacteria
G006440785	p__	p__Proteobacteria
G001801425	p__	p__Proteobacteria
G000272005	p__	p__Proteobacteria
G000015705	p__	p__Terrabacteria_group
G004535795	p__	p__SAR92_clade
G011389075	p__	p__Terrabacteria_group
G001773455	p__	p__Candidatus_Abawacabacteria
G001424545	p__	p__Proteobacteria
G011053995	p__	p__Terrabacteria_group
G001297765	p__	p__Proteobacteria
G003258795	p__	p__Terrabacteria_group
G001791465	p__	p__Parcubacteria_group
G001675935	p__	p__Proteobacteria
G001636015	p__	p__Proteobacteria
G900096995	p__	p__Proteobacteria
G001006805	p__	p__Proteobacteria
G003194085	p__	p__Terrabacteria_group
G000384965	p__	p__Proteobacteria
G001001645	p__	p__Parcubacteria_group
G000746525	p__	p__Proteobacteria
G001780235	p__	p__Parcubacteria_group
G001482365	p__	p__Terrabacteria_group
G011040415	p__	p__Terrabacteria_group
G002477185	p__	p__Proteobacteria
G009694435	p__	p__Terrabacteria_group
G002162825	p__	p__Proteobacteria
G001656425	p__	p__Proteobacteria
G001465855	p__	p__Terrabacteria_group
G001797495	p__	p__Proteobacteria
G000021745	p__	p__Proteobacteria
G003280095	p__	p__Terrabacteria_group
G011391085	p__	p__Proteobacteria
G000699505	p__	p__Terrabacteria_group
G000018205	p__	p__Proteobacteria
G000024385	p__	p__Terrabacteria_group
G000768675	p__	p__Terrabacteria_group
G000364625	p__	p__Proteobacteria
G009379915	p__	p__Terrabacteria_group
G900128895	p__	p__Proteobacteria
G000427645	p__	p__Proteobacteria
G001050535	p__	p__Terrabacteria_group
G000402795	p__	p__FCB_group
G001429505	p__	p__Proteobacteria
G003645535	p__	p__Proteobacteria
G001657475	p__	p__Terrabacteria_group
G004356455	p__	p__Proteobacteria
G000013565	p__	p__Proteobacteria
G000518745	p__	p__Proteobacteria
G000444645	p__	p__Proteobacteria
G000316625	p__	p__Terrabacteria_group
G001044395	p__	p__Proteobacteria
G000272025	p__	p__Proteobacteria
G000757605	p__	p__Proteobacteria
G000505665	p__	p__Terrabacteria_group
G008630155	p__	p__Proteobacteria
G000759795	p__	p__Proteobacteria
G001795045	p__	p__Terrabacteria_group
G000384995	p__	p__Proteobacteria
G002840845	p__	p__Proteobacteria
G000221625	p__	p__Terrabacteria_group
G001629355	p__	p__Proteobacteria
G000429305	p__	p__Proteobacteria
G902533625	p__	p__Proteobacteria
G000376885	p__	p__Terrabacteria_group
G000376805	p__	p__Proteobacteria
G900048935	p__	p__Proteobacteria
G005503445	p__	p__Proteobacteria
G000376785	p__	p__Proteobacteria
G001784555	p__	p__Terrabacteria_group
G000314735	p__	p__Proteobacteria
G001420005	p__	p__Proteobacteria
G001771505	p__	p__Terrabacteria_group
G000527075	p__	p__Terrabacteria_group
G000711215	p__	p__Stenosarchaea_group
G000767055	p__	p__Terrabacteria_group
G002127415	p__	p__Calditrichaeota
G000807275	p__	p__Proteobacteria
G001873375	p__	p__Terrabacteria_group
G000745735	p__	p__Proteobacteria
G001778285	p__	p__Parcubacteria_group
G900065905	p__	p__Proteobacteria
G001026985	p__	p__Proteobacteria
