id	observed	expected
G001830325	p__	p__Proteobacteria
G001432305	p__	p__Proteobacteria
G001280845	p__	p__Terrabacteria_group
G000328565	p__	p__Terrabacteria_group
G001769975	p__	p__Proteobacteria
G001423765	p__	p__Proteobacteria
G000015725	p__	p__Proteobacteria
G000153045	p__	p__Terrabacteria_group
G002007565	p__	p__Proteobacteria
G001295935	p__	p__Proteobacteria
G000320405	p__	p__Terrabacteria_group
G001462345	p__	p__FCB_group
G000473145	p__	p__Proteobacteria
G001293165	p__	p__Proteobacteria
G000376885	p__	p__Terrabacteria_group
G000307305	p__	p__Proteobacteria
G000472345	p__	p__Terrabacteria_group
G001431725	p__	p__Proteobacteria
G000427785	p__	p__Proteobacteria
G900057625	p__	p__Proteobacteria
G000800295	p__	p__Terrabacteria_group
G001553285	p__	p__Terrabacteria_group
G001293125	p__	p__Terrabacteria_group
G000876225	p__	p__Terrabacteria_group
G001656195	p__	p__Proteobacteria
G000614975	p__	p__Proteobacteria
G900107025	p__	p__Proteobacteria
G000424785	p__	p__Terrabacteria_group
G000420485	p__	p__Proteobacteria
G000384815	p__	p__Proteobacteria
G000423305	p__	p__Proteobacteria
G001729525	p__	p__Terrabacteria_group
G000010165	p__	p__Terrabacteria_group
G001307545	p__	p__Terrabacteria_group
G000772535	p__	p__Proteobacteria
G001631985	p__	p__Terrabacteria_group
G001281115	p__	p__Terrabacteria_group
G000176775	p__	p__Terrabacteria_group
G001425785	p__	p__Proteobacteria
G000369105	p__	p__Proteobacteria
G000403275	p__	p__Terrabacteria_group
G001431315	p__	p__Proteobacteria
G001296005	p__	p__Proteobacteria
G900096945	p__	p__Terrabacteria_group
G000730365	p__	p__Terrabacteria_group
G900099655	p__	p__Terrabacteria_group
G000437235	p__	p__Terrabacteria_group
G000308395	p__	p__Terrabacteria_group
G000007805	p__	p__Proteobacteria
G000324445	p__	p__Proteobacteria
G000154505	p__	p__Terrabacteria_group
G001919995	p__	p__Terrabacteria_group
G001441635	p__	p__Proteobacteria
G000153285	p__	p__Terrabacteria_group
G000968175	p__	p__Proteobacteria
G000931935	p__	p__Proteobacteria
G000248095	p__	p__Terrabacteria_group
G001875345	p__	p__Diaforarchaea_group
G000012405	p__	p__Terrabacteria_group
G000771795	p__	p__Proteobacteria
G000621465	p__	p__Terrabacteria_group
G000432315	p__	p__Terrabacteria_group
G000952155	p__	p__Terrabacteria_group
G000018285	p__	p__Proteobacteria
G000008385	p__	p__Proteobacteria
G001829955	p__	p__Terrabacteria_group
G000196235	p__	p__Terrabacteria_group
G001593535	p__	p__Proteobacteria
G000437255	p__	p__Terrabacteria_group
G000478685	p__	p__Proteobacteria
G000160035	p__	p__Terrabacteria_group
G000733915	p__	p__Proteobacteria
G001305965	p__	p__Proteobacteria
G001801785	p__	p__Proteobacteria
G000817095	p__	p__Terrabacteria_group
G000294715	p__	p__Proteobacteria
G000090965	p__	p__Proteobacteria
G000968085	p__	p__Proteobacteria
G000317305	p__	p__Terrabacteria_group
G000016425	p__	p__Terrabacteria_group
G000435815	p__	p__Terrabacteria_group
G001312805	p__	p__Proteobacteria
G001446935	p__	p__Proteobacteria
G000214595	p__	p__Proteobacteria
G000763375	p__	p__Terrabacteria_group
G900155635	p__	p__Terrabacteria_group
G000828515	p__	p__Proteobacteria
G001752665	p__	p__Proteobacteria
G000195995	p__	p__Proteobacteria
G000301035	p__	p__Terrabacteria_group
G000236165	p__	p__Proteobacteria
G000968135	p__	p__Proteobacteria
G000439085	p__	p__Proteobacteria
G001872245	p__	p__Parcubacteria_group
G000013125	p__	p__Proteobacteria
G000516555	p__	p__Proteobacteria
G001879715	p__	p__Proteobacteria
G001586935	p__	p__Proteobacteria
G000770305	p__	p__Proteobacteria
G000434195	p__	p__Terrabacteria_group
G000568255	p__	p__Terrabacteria_group
G001375555	p__	p__Terrabacteria_group
G000989565	p__	p__Candidatus_Peregrinibacteria
G001297025	p__	p__Terrabacteria_group
G001872575	p__	p__Candidatus_Peregrinibacteria
G000812585	p__	p__Proteobacteria
G001795365	p__	p__Proteobacteria
G000738775	p__	p__Terrabacteria_group
G000349945	p__	p__Proteobacteria
G000372925	p__	p__Proteobacteria
G000421325	p__	p__Proteobacteria
G001797495	p__	p__Proteobacteria
G001919145	p__	p__FCB_group
G001542775	p__	p__Terrabacteria_group
G900112885	p__	p__Terrabacteria_group
G000226625	p__	p__Proteobacteria
G001050235	p__	p__Terrabacteria_group
G001039735	p__	p__Terrabacteria_group
G001829835	p__	p__Proteobacteria
G000012305	p__	p__Proteobacteria
G000372865	p__	p__Proteobacteria
G001672295	p__	p__Proteobacteria
G900114615	p__	p__Terrabacteria_group
G000374165	p__	p__Terrabacteria_group
G001801345	p__	p__Proteobacteria
G001304155	p__	p__FCB_group
G000279995	p__	p__Proteobacteria
G000711955	p__	p__Proteobacteria
G000312525	p__	p__Proteobacteria
G001543005	p__	p__Proteobacteria
G001308005	p__	p__Proteobacteria
G001431645	p__	p__Proteobacteria
G900111755	p__	p__Proteobacteria
G000296505	p__	p__Terrabacteria_group
G000970455	p__	p__Proteobacteria
G001436275	p__	p__Terrabacteria_group
G000316115	p__	p__Terrabacteria_group
G001574905	p__	p__Proteobacteria
G001693675	p__	p__Terrabacteria_group
G000522445	p__	p__Nitrospinae/Tectomicrobia_group
G000334455	p__	p__Terrabacteria_group
G000689415	p__	p__Proteobacteria
G000202635	p__	p__Terrabacteria_group
G001868315	p__	p__Terrabacteria_group
G000014505	p__	p__Terrabacteria_group
G000411375	p__	p__Terrabacteria_group
G000169255	p__	p__Terrabacteria_group
G001797585	p__	p__Proteobacteria
G000014345	p__	p__Proteobacteria
G001796885	p__	p__Terrabacteria_group
G000225325	p__	p__Terrabacteria_group
G000196035	p__	p__Terrabacteria_group
G000241345	p__	p__Terrabacteria_group
G001021085	p__	p__Proteobacteria
G000758945	p__	p__Terrabacteria_group
G000621865	p__	p__Terrabacteria_group
G000204195	p__	p__Proteobacteria
G000183565	p__	p__Terrabacteria_group
G001627735	p__	p__SAR324_cluster
G000681355	p__	p__Terrabacteria_group
G001042675	p__	p__Terrabacteria_group
G000429085	p__	p__Terrabacteria_group
G000621565	p__	p__Terrabacteria_group
G001886435	p__	p__Proteobacteria
G001417755	p__	p__Terrabacteria_group
G001267865	p__	p__Terrabacteria_group
G900109035	p__	p__Proteobacteria
G001512785	p__	p__Terrabacteria_group
G000757525	p__	p__Proteobacteria
G000621005	p__	p__Proteobacteria
G000513735	p__	p__Proteobacteria
G000225365	p__	p__Terrabacteria_group
G001632075	p__	p__Terrabacteria_group
G001306115	p__	p__Terrabacteria_group
G900112445	p__	p__Proteobacteria
G000230555	p__	p__Proteobacteria
G001298505	p__	p__Terrabacteria_group
G900107615	p__	p__Terrabacteria_group
G001788955	p__	p__Candidatus_Peregrinibacteria
G001542565	p__	p__Terrabacteria_group
G000377785	p__	p__Proteobacteria
G000378225	p__	p__Proteobacteria
G000014725	p__	p__Terrabacteria_group
G900115855	p__	p__Terrabacteria_group
G001761345	p__	p__Proteobacteria
G000162475	p__	p__Terrabacteria_group
G001932775	p__	p__Proteobacteria
G000299575	p__	p__Proteobacteria
G900113415	p__	p__Terrabacteria_group
G000503775	p__	p__Terrabacteria_group
G001650325	p__	p__Terrabacteria_group
G000407505	p__	p__Terrabacteria_group
G001921215	p__	p__Terrabacteria_group
G001314325	p__	p__Proteobacteria
G000236665	p__	p__Proteobacteria
G001785035	p__	p__Proteobacteria
G000478885	p__	p__Terrabacteria_group
G001598375	p__	p__Proteobacteria
G000176015	p__	p__Proteobacteria
G900111255	p__	p__Terrabacteria_group
G000961805	p__	p__Terrabacteria_group
G001656275	p__	p__Proteobacteria
G000302695	p__	p__Proteobacteria
G001424265	p__	p__Proteobacteria
G000688395	p__	p__Terrabacteria_group
G001799285	p__	p__Proteobacteria
G001873515	p__	p__Parcubacteria_group
G000483025	p__	p__Proteobacteria
G000270265	p__	p__Terrabacteria_group
G001550135	p__	p__Proteobacteria
G000832065	p__	p__Proteobacteria
G001434315	p__	p__Terrabacteria_group
G000996715	p__	p__Parcubacteria_group
G000622345	p__	p__Proteobacteria
G001791455	p__	p__Parcubacteria_group
G000576305	p__	p__Terrabacteria_group
G000024965	p__	p__Terrabacteria_group
G001995405	p__	p__Proteobacteria
G001424985	p__	p__Proteobacteria
G001429625	p__	p__Terrabacteria_group
G000431575	p__	p__Terrabacteria_group
G000968255	p__	p__Terrabacteria_group
G000967245	p__	p__Terrabacteria_group
G000996245	p__	p__Parcubacteria_group
G001884735	p__	p__Proteobacteria
G001603075	p__	p__PVC_group
G000423825	p__	p__Proteobacteria
G001802355	p__	p__Proteobacteria
G000092985	p__	p__Terrabacteria_group
G000026405	p__	p__Terrabacteria_group
G000741705	p__	p__Terrabacteria_group
G000428925	p__	p__Terrabacteria_group
G001579945	p__	p__Proteobacteria
G001647675	p__	p__Proteobacteria
G000526655	p__	p__Terrabacteria_group
G000764555	p__	p__Proteobacteria
G000967725	p__	p__Proteobacteria
G900110775	p__	p__Proteobacteria
G001552475	p__	p__Terrabacteria_group
G001592185	p__	p__Proteobacteria
G000152805	p__	p__Proteobacteria
G001304015	p__	p__FCB_group
G000024785	p__	p__Terrabacteria_group
G000242235	p__	p__Terrabacteria_group
G001751225	p__	p__Proteobacteria
G000214155	p__	p__Terrabacteria_group
G900114745	p__	p__Proteobacteria
G001592125	p__	p__Terrabacteria_group
G000266905	p__	p__Terrabacteria_group
G001874025	p__	p__PVC_group
G000520595	p__	p__Terrabacteria_group
G000934745	p__	p__Proteobacteria
G000175035	p__	p__Terrabacteria_group
G000998635	p__	p__Parcubacteria_group
G000161895	p__	p__Terrabacteria_group
G000429065	p__	p__Proteobacteria
G000431895	p__	p__Terrabacteria_group
G000612185	p__	p__Terrabacteria_group
G900101495	p__	p__Terrabacteria_group
G900109215	p__	p__Terrabacteria_group
G000429665	p__	p__Proteobacteria
G900120415	p__	p__Terrabacteria_group
G000161835	p__	p__Proteobacteria
G001548375	p__	p__Terrabacteria_group
G001868275	p__	p__Terrabacteria_group
G001873755	p__	p__Candidatus_Wirthbacteria
G000427565	p__	p__Terrabacteria_group
G000284615	p__	p__Proteobacteria
G000382325	p__	p__Proteobacteria
G001436605	p__	p__Terrabacteria_group
G000155555	p__	p__Terrabacteria_group
G000433035	p__	p__Terrabacteria_group
G001791415	p__	p__Parcubacteria_group
G000966245	p__	p__Proteobacteria
G001428745	p__	p__Terrabacteria_group
G000816445	p__	p__Proteobacteria
G001469165	p__	p__Proteobacteria
G000431855	p__	p__Terrabacteria_group
G001311845	p__	p__Proteobacteria
G000384235	p__	p__Proteobacteria
G001014615	p__	p__Proteobacteria
G001603875	p__	p__FCB_group
G000239355	p__	p__Proteobacteria
G000187005	p__	p__Terrabacteria_group
G000229145	p__	p__Terrabacteria_group
G000956475	p__	p__Terrabacteria_group
G001050305	p__	p__Terrabacteria_group
G001468165	p__	p__Proteobacteria
G001262635	p__	p__Proteobacteria
G001294465	p__	p__Proteobacteria
G000721105	p__	p__Terrabacteria_group
G001513105	p__	p__Terrabacteria_group
G000012525	p__	p__Terrabacteria_group
G000210095	p__	p__Terrabacteria_group
G000496075	p__	p__Proteobacteria
G000531125	p__	p__Proteobacteria
G001799025	p__	p__Proteobacteria
G000607225	p__	p__Proteobacteria
G000688255	p__	p__Proteobacteria
G000014745	p__	p__Proteobacteria
G000315445	p__	p__Terrabacteria_group
G001603985	p__	p__Terrabacteria_group
G001486525	p__	p__Proteobacteria
G000237995	p__	p__Terrabacteria_group
G001431535	p__	p__Proteobacteria
G001825635	p__	p__PVC_group
G001010285	p__	p__Proteobacteria
G000472865	p__	p__Proteobacteria
G001791135	p__	p__Parcubacteria_group
G000723565	p__	p__Proteobacteria
G000185965	p__	p__Proteobacteria
G001587715	p__	p__Stenosarchaea_group
G002019695	p__	p__Terrabacteria_group
G000245795	p__	p__Terrabacteria_group
G001574475	p__	p__Proteobacteria
G000227215	p__	p__Proteobacteria
G001570425	p__	p__Terrabacteria_group
G000826185	p__	p__Terrabacteria_group
G001425325	p__	p__Terrabacteria_group
G000317025	p__	p__Terrabacteria_group
G001796865	p__	p__Terrabacteria_group
G000434535	p__	p__Terrabacteria_group
G000230275	p__	p__Terrabacteria_group
G000753865	p__	p__Proteobacteria
G000969645	p__	p__Proteobacteria
G001916225	p__	p__Terrabacteria_group
G000518205	p__	p__Terrabacteria_group
G000215485	p__	p__Proteobacteria
G000023785	p__	p__Proteobacteria
G001818155	p__	p__Parcubacteria_group
G000996765	p__	p__Parcubacteria_group
G001304105	p__	p__Proteobacteria
G000482325	p__	p__Terrabacteria_group
G001412545	p__	p__Proteobacteria
G001399755	p__	p__Proteobacteria
G000368925	p__	p__Proteobacteria
G900044015	p__	p__ant,_tsetse,_mealybug,_aphid,_etc._endosymbionts
G001791335	p__	p__Parcubacteria_group
G000011405	p__	p__Proteobacteria
G000153845	p__	p__Proteobacteria
G000299875	p__	p__Proteobacteria
G000760215	p__	p__Terrabacteria_group
