200k.uDance	d__Archaea	4562	0.996
200k.uDance	d__Bacteria	191444	1.000
200k.uDance	p__Euryarchaeota	642	0.255
200k.uDance	p__candidate_division_MSBL1	17	1.000
200k.uDance	p__Candidatus_Hydrothermarchaeota	5	0.556
200k.uDance	p__Methanomada_group	357	0.994
200k.uDance	p__Stenosarchaea_group	1100	0.847
200k.uDance	p__Diaforarchaea_group	754	0.666
200k.uDance	p__Proteobacteria	89692	0.975
200k.uDance	p__DPANN_group	446	0.918
200k.uDance	p__PVC_group	3132	0.925
200k.uDance	p__TACK_group	1145	0.990
200k.uDance	p__Asgard_group	90	0.887
200k.uDance	p__Marine_Group_IV	4	0.667
200k.uDance	p__DHVE6_group	1	1.000
200k.uDance	p__Nitrospirae	417	0.957
200k.uDance	p__candidate_division_pMC2A384	1	1.000
200k.uDance	p__Candidatus_Wirthbacteria	2	1.000
200k.uDance	p__candidate_division_CPR3	10	0.500
200k.uDance	p__candidate_division_WWE3	129	0.917
200k.uDance	p__candidate_division_CPR1	2	0.500
200k.uDance	p__Candidatus_Saccharibacteria	244	0.980
200k.uDance	p__Microgenomates_group	902	0.990
200k.uDance	p__Terrabacteria_group	75966	0.997
200k.uDance	p__Parcubacteria_group	2111	0.987
200k.uDance	p__Candidatus_Dojkabacteria	51	0.981
200k.uDance	p__Candidatus_Berkelbacteria	52	0.911
200k.uDance	p__candidate_division_Kazan-3B-28	10	1.000
200k.uDance	p__candidate_division_WS5	1	1.000
200k.uDance	p__candidate_division_CPR2	10	1.000
200k.uDance	p__candidate_division_WS2	1	1.000
200k.uDance	p__Candidatus_Aminicenantes	105	0.928
200k.uDance	p__Candidatus_Gracilibacteria	24	0.583
200k.uDance	p__Candidatus_Doudnabacteria	35	0.946
200k.uDance	p__candidate_division_SR1	7	0.500
200k.uDance	p__FCB_group	13115	0.976
200k.uDance	p__Spirochaetes	1443	0.989
200k.uDance	p__Calditrichaeota	40	0.512
200k.uDance	p__Candidatus_Abawacabacteria	2	1.000
200k.uDance	p__Candidatus_Peregrinibacteria	110	0.885
200k.uDance	p__Candidatus_Peribacteraceae	8	0.364
200k.uDance	p__Dictyoglomi	13	1.000
200k.uDance	p__Fusobacteria	279	0.978
200k.uDance	p__Candidatus_Ozemobacterales	1	1.000
200k.uDance	p__Candidatus_Riflebacteria	9	0.818
200k.uDance	p__candidate_division_KD3-62	1	1.000
200k.uDance	p__Candidatus_Fervidibacteria	6	1.000
200k.uDance	p__Caldiserica/Cryosericota_group	29	0.900
200k.uDance	p__Candidatus_Atribacteria	62	0.984
200k.uDance	p__Candidatus_Fraserbacteria	1	1.000
200k.uDance	p__Candidatus_Bipolaricaulota	21	0.476
200k.uDance	p__Aquificae	84	0.895
200k.uDance	p__Acidobacteria	981	0.970
200k.uDance	p__Candidatus_Lindowbacteria	2	1.000
200k.uDance	p__Synergistetes	145	0.993
200k.uDance	p__Coprothermobacterota	7	1.000
200k.uDance	p__Thermotogae	198	0.995
200k.uDance	p__Candidatus_Sumerlaeota	14	0.625
200k.uDance	p__Candidatus_Aerophobetes	24	0.846
200k.uDance	p__Candidatus_Desantisbacteria	13	0.615
200k.uDance	p__candidate_division_TA06	15	0.400
200k.uDance	p__Elusimicrobia	192	0.931
200k.uDance	p__candidate_division_NPL-UPA2	1	1.000
200k.uDance	p__Candidatus_Calescamantes	16	0.882
200k.uDance	p__candidate_division_FCPU426	3	1.000
200k.uDance	p__Candidatus_Firestonebacteria	5	1.000
200k.uDance	p__Candidatus_Poribacteria	69	1.000
200k.uDance	p__Candidatus_Dadabacteria	1	1.000
