id	observed	expected
G002483305	p__	p__Proteobacteria
G900635445	p__	p__Proteobacteria
G002170275	p__	p__Proteobacteria
G900470195	p__	p__Proteobacteria
G008364625	p__	p__Proteobacteria
G002531905	p__	p__Proteobacteria
G009176975	p__	p__Proteobacteria
G900104355	p__	p__Proteobacteria
G002135235	p__	p__Proteobacteria
G003695065	p__	p__Proteobacteria
G001800515	p__	p__Elusimicrobia
G005777155	p__	p__Proteobacteria
G009927165	p__	p__Proteobacteria
G000372965	p__	p__Proteobacteria
G003611735	p__	p__Proteobacteria
G002632585	p__	p__Proteobacteria
G003167495	p__	p__Acidobacteria
G002498285	p__	p__Diaforarchaea_group
G003695285	p__	p__Calditrichaeota
G002508425	p__	p__Stenosarchaea_group
G003298775	p__	p__Proteobacteria
G007828215	p__	p__Proteobacteria
G003363135	p__	p__Proteobacteria
G900104855	p__	p__Proteobacteria
G003605735	p__	p__Proteobacteria
G001657395	p__	p__Proteobacteria
G011753055	p__	p__Proteobacteria
G002726515	p__	p__PVC_group
G900094735	p__	p__Proteobacteria
G001768735	p__	p__Proteobacteria
G002316295	p__	p__Proteobacteria
G000515275	p__	p__Proteobacteria
G000953825	p__	p__Proteobacteria
G002254825	p__	p__Stenosarchaea_group
G000384415	p__	p__Proteobacteria
G009707325	p__	p__Proteobacteria
G000749845	p__	p__Proteobacteria
G009937455	p__	p__PVC_group
G004363775	p__	p__Proteobacteria
G900100485	p__	p__Proteobacteria
G004377185	p__	p__Diaforarchaea_group
G900110065	p__	p__Proteobacteria
G000739615	p__	p__PVC_group
G002007405	p__	p__Proteobacteria
G004458765	p__	p__Proteobacteria
G003544815	p__	p__Proteobacteria
G003645455	p__	p__Proteobacteria
G002070645	p__	p__candidate_division_TA06
G003063475	p__	p__Proteobacteria
G902601705	p__	p__Proteobacteria
G000014285	p__	p__Proteobacteria
G902574705	p__	p__Proteobacteria
G002434595	p__	p__Proteobacteria
G902771595	p__	p__FCB_group
G003142795	p__	p__PVC_group
G008274655	p__	p__Proteobacteria
G900185715	p__	p__Proteobacteria
G002020135	p__	p__Proteobacteria
G003344785	p__	p__Proteobacteria
G003159675	p__	p__PVC_group
G002842195	p__	p__Proteobacteria
G000281715	p__	p__Proteobacteria
G902541315	p__	p__Proteobacteria
G902591775	p__	p__Proteobacteria
G002707495	p__	p__Proteobacteria
G000424685	p__	p__Proteobacteria
G000764025	p__	p__Proteobacteria
G000236785	p__	p__Proteobacteria
G012329065	p__	p__Proteobacteria
G000526255	p__	p__PVC_group
G011634895	p__	p__Proteobacteria
G000496075	p__	p__Proteobacteria
G004167605	p__	p__PVC_group
G004023665	p__	p__Proteobacteria
G003957745	p__	p__Proteobacteria
G003566375	p__	p__PVC_group
G001984055	p__	p__Proteobacteria
G002470825	p__	p__Proteobacteria
G001917665	p__	p__FCB_group
G002221505	p__	p__Proteobacteria
G001592755	p__	p__Proteobacteria
G902621855	p__	p__Proteobacteria
G000300075	p__	p__Proteobacteria
G000711985	p__	p__Proteobacteria
G003063415	p__	p__Proteobacteria
G011389055	p__	p__DPANN_group
G003600865	p__	p__Proteobacteria
G000354175	p__	p__Proteobacteria
G902595515	p__	p__SAR116_cluster
G902596975	p__	p__Proteobacteria
G003670825	p__	p__PVC_group
G003606325	p__	p__Proteobacteria
G007785815	p__	p__Proteobacteria
G002885955	p__	p__Proteobacteria
G000526195	p__	p__Proteobacteria
G011049295	p__	p__Diaforarchaea_group
G000964425	p__	p__Proteobacteria
G001314685	p__	p__Proteobacteria
G011682595	p__	p__Terrabacteria_group
G003712145	p__	p__Proteobacteria
G002733215	p__	p__Proteobacteria
G002422205	p__	p__Proteobacteria
G900107995	p__	p__Proteobacteria
G000695255	p__	p__Proteobacteria
G005808505	p__	p__Proteobacteria
G902150025	p__	p__Proteobacteria
G008017535	p__	p__Proteobacteria
G003162615	p__	p__Stenosarchaea_group
