Gene Species Taxon Signature
0 G004296475 G004296475 0.0309947571837492
0 G002688505 G002688505 0.02437318338517666
0 G000319365 G000319365 0.017139959462115266
0 G000281235 G000281235 0.017139959462115266
0 G900128725 G900128725 0.011501429158898076
0 G003265155 G003265155 0.011501429158898076
0 G000508245 G000508245 0.011501429158898076
0 G900698975 G900698975 0.011501429158898076
0 G900560745 G900560745 0.011501429158898076
0 G900698945 G900698945 0.011501429158898076
0 G900016785 G900016785 0.011501429158898076
0 G009831855 G009831855 0.003978809881893723
0 G900699035 G900699035 0.011501429158898076
0 G002075085 G002075085 0.011501429158898076
0 G000217635 G000217635 0.011501429158898076
0 G000090965 G000090965 0.011501429158898076
0 G003956045 G003956045 0.011501429158898076
0 G011754245 G011754245 0.011501429158898076
0 G011754225 G011754225 0.011501429158898076
0 G005080825 G005080825 0.011501429158898076
0 G900660625 G900660625 0.003978809881893723
0 G000203215 G000203215 0.003978809881893723
0 G000179035 G000179035 0.003978809881893723
0 G900660705 G900660705 0.0034386598705389293
0 G000200735 G000200735 0.0034386598705389293
0 G001645765 G001645765 0.0034386598705389293
0 G902789825 G902789825 0.0019869181724879947
0 G012571605 G012571605 0.011501429158898076
0 G000817295 G000817295 0.011501429158898076
0 G005080725 G005080725 0.011501429158898076
0 G005080765 G005080765 0.011501429158898076
0 G006741185 G006741185 0.011501429158898076
0 G012570145 G012570145 0.011501429158898076
0 G005080705 G005080705 0.011501429158898076
0 G012571795 G012571795 0.011501429158898076
0 G005080785 G005080785 0.011501429158898076
0 G000093065 G000093065 0.011501429158898076
0 G002074035 G002074035 0.011501429158898076
0 G003391335 G003391335 0.011501429158898076
0 G012567545 G012567545 0.011501429158898076
0 G012571135 G012571135 0.011501429158898076
0 G000007725 G000007725 0.011501429158898076
0 G005080745 G005080745 0.011501429158898076
0 G000225465 G000225465 0.011501429158898076
0 G001648115 G001648115 0.011501429158898076
0 G005081445 G005081445 0.011501429158898076
0 G001280225 G001280225 0.011501429158898076
0 G003096055 G003096055 0.011501429158898076
0 G005080865 G005080865 0.011501429158898076
0 G000521565 G000521565 0.011501429158898076
0 G012562765 G012562765 0.011501429158898076
0 G000008885 G000008885 0.011501429158898076
0 G000225445 G000225445 0.011501429158898076
0 G005081185 G005081185 0.011501429158898076
0 G000007365 G000007365 0.011501429158898076
0 G000247565 G000247565 0.011501429158898076
0 G001242845 G001242845 0.00842808851268249
0 G000043285 G000043285 0.00842808851268249
0 G000185985 G000185985 0.00842808851268249
0 G000828815 G000828815 0.00842808851268249
0 G000973505 G000973505 0.00842808851268249
0 G000300075 G000300075 0.006606707719992744
0 G003391295 G003391295 0.008058728721000196
0 G000011745 G000011745 0.008058728721000196
0 G001915575 G001915575 0.005549025172271881
0 G004553345 G004553345 0.0034386598705389293
0 G000432655 G000432655 0.0034386598705389293
0 G000349745 G000349745 0.0019869181724879947
0 G000953395 G000953395 0.0019869181724879947
0 G002438805 G002438805 0.0019869181724879947
0 G008326325 G008326325 0.0019869181724879947
0 G000526955 G000526955 0.0019869181724879947
0 G000328725 G000328725 0.0019869181724879947
0 G000259005 G000259005 0.0019869181724879947
0 G900476105 G900476105 0.0019869181724879947
0 G004365095 G004365095 0.0019869181724879947
0 G902790425 G902790425 0.0019869181724879947
0 G002933315 G002933315 0.0019869181724879947
0 G902789245 G902789245 0.0019869181724879947
0 G001602885 G001602885 0.0019869181724879947
0 G002933355 G002933355 0.0019869181724879947
0 G002438635 G002438635 0.0019869181724879947
0 G004551965 G004551965 0.001228216453547684
0 G902800015 G902800015 0.0019869181724879947
0 G002439815 G002439815 0.001228216453547684
0 G902764085 G902764085 0.001228216453547684
0 G902768695 G902768695 0.001228216453547684
0 G000433355 G000433355 0.001228216453547684
0 G900544195 G900544195 0.001228216453547684
0 G000828515 G000828515 0.001228216453547684
0 G000431015 G000431015 0.001228216453547684
0 G900320795 G900320795 0.001228216453547684
0 G902790745 G902790745 0.001228216453547684
0 G902779545 G902779545 0.001228216453547684
0 G009936335 G009936335 0.0019869181724879947
0 G003601895 G003601895 0.0019869181724879947
0 G000026765 G000026765 0.0019869181724879947
0 G000622205 G000622205 0.0019869181724879947
0 G002356075 G002356075 0.0019869181724879947
0 G900660525 G900660525 0.0019869181724879947
0 G900660645 G900660645 0.0019869181724879947
0 G001484825 G001484825 0.0019869181724879947
0 G001639665 G001639665 0.0019869181724879947
0 G000770195 G000770195 0.0019869181724879947
0 G000712175 G000712175 0.0019869181724879947
0 G900660665 G900660665 0.0019869181724879947
0 G000702705 G000702705 0.0019869181724879947
0 G000731915 G000731915 0.0019869181724879947
0 G007821455 G007821455 0.0019869181724879947
0 G001017705 G001017705 0.0019869181724879947
0 G900544585 G900544585 0.0019869181724879947
0 G004792535 G004792535 0.0019869181724879947
0 G000364425 G000364425 0.0019869181724879947
0 G006228185 G006228185 0.0019869181724879947
0 G000687775 G000687775 0.0019869181724879947
0 G000292505 G000292505 0.0019869181724879947
0 G000701485 G000701485 0.0019869181724879947
0 G006546935 G006546935 0.0019869181724879947
0 G000712185 G000712185 0.0019869181724879947
0 G000008245 G000008245 0.0019869181724879947
0 G000701805 G000701805 0.0019869181724879947
0 G003546845 G003546845 0.0019869181724879947
0 G009810075 G009810075 0.0019869181724879947
0 G003640545 G003640545 0.0019869181724879947
0 G900660605 G900660605 0.0019869181724879947
0 G009884515 G009884515 0.0019869181724879947
0 G009792315 G009792315 0.0019869181724879947
0 G000011225 G000011225 0.0019869181724879947
0 G000420225 G000420225 0.0019869181724879947
0 G009268105 G009268105 0.0019869181724879947
0 G000953435 G000953435 0.001228216453547684
0 G001021085 G001021085 0.001228216453547684
0 G902763075 G902763075 0.001228216453547684
0 G002135175 G002135175 0.0019869181724879947
0 G900660495 G900660495 0.0019869181724879947
0 G000965765 G000965765 0.0019869181724879947
0 G900167035 G900167035 0.0019869181724879947
0 G001637235 G001637235 0.0019869181724879947
0 G009730595 G009730595 0.0019869181724879947
0 G006385795 G006385795 0.0019869181724879947
0 G001269425 G001269425 0.001218085666181007
0 G000013185 G000013185 0.001218085666181007
0 G000435075 G000435075 0.001228216453547684
0 G000432515 G000432515 0.001228216453547684
0 G902798845 G902798845 0.001228216453547684
0 G000518305 G000518305 0.0019869181724879947
0 G013008635 G013008635 0.0019869181724879947
0 G000686585 G000686585 0.0019869181724879947
0 G007858515 G007858515 0.0019869181724879947
0 G002272945 G002272945 0.0019869181724879947
0 G000178375 G000178375 0.0019869181724879947
0 G006491995 G006491995 0.0019869181724879947
0 G002930145 G002930145 0.0019869181724879947
0 G000687795 G000687795 0.0019869181724879947
0 G002245785 G002245785 0.0019869181724879947
0 G006385185 G006385185 0.0019869181724879947
0 G000701785 G000701785 0.0019869181724879947
0 G003855455 G003855455 0.0019869181724879947
0 G900539595 G900539595 0.0019869181724879947
0 G002163565 G002163565 0.0019869181724879947
0 G000227355 G000227355 0.0019869181724879947
0 G000500935 G000500935 0.0019869181724879947
0 G000565175 G000565175 0.0019869181724879947
0 G001189415 G001189415 0.0019869181724879947
0 G006334045 G006334045 0.0019869181724879947
0 G006334065 G006334065 0.0019869181724879947
0 G000025845 G000025845 0.0019869181724879947
0 G001063275 G001063275 0.0019869181724879947
0 G900660715 G900660715 0.0019869181724879947
0 G000702725 G000702725 0.0019869181724879947
0 G010365785 G010365785 0.0019869181724879947
0 G002804205 G002804205 0.0019869181724879947
0 G003208575 G003208575 0.0019869181724879947
0 G902793785 G902793785 0.0019869181724879947
0 G002472275 G002472275 0.0019869181724879947
0 G002214445 G002214445 0.0019869181724879947
0 G900542595 G900542595 0.0019869181724879947
0 G900660595 G900660595 0.0019869181724879947
0 G000346595 G000346595 0.0006221109190476036
0 G000195875 G000195875 0.0019869181724879947
0 G900660575 G900660575 0.0019869181724879947
0 G003688445 G003688445 0.0019869181724879947
0 G000622165 G000622165 0.0019869181724879947
0 G013008815 G013008815 0.0019869181724879947
0 G002321395 G002321395 0.0019869181724879947
0 G000309465 G000309465 0.0019869181724879947
0 G900660435 G900660435 0.0019869181724879947
0 G000300695 G000300695 0.0019869181724879947
0 G000309485 G000309485 0.0019869181724879947
0 G004011945 G004011945 0.0019869181724879947
0 G902777395 G902777395 0.0019869181724879947
0 G902802355 G902802355 0.0019869181724879947
0 G001199495 G001199495 0.0019869181724879947
0 G001267155 G001267155 0.0019869181724879947
0 G900660485 G900660485 0.0019869181724879947
0 G900660535 G900660535 0.0019869181724879947
0 G900660735 G900660735 0.0019869181724879947
0 G000483165 G000483165 0.0019869181724879947
0 G012516495 G012516495 0.0019869181724879947
0 G000439435 G000439435 0.0019869181724879947
0 G000485555 G000485555 0.0019869181724879947
0 G900660445 G900660445 0.0019869181724879947
0 G000701825 G000701825 0.0019869181724879947
0 G001262715 G001262715 0.0019869181724879947
0 G000526855 G000526855 0.0019869181724879947
0 G000008365 G000008365 0.0019869181724879947
0 G001281045 G001281045 0.0019869181724879947
0 G000518285 G000518285 0.0019869181724879947
0 G003383595 G003383595 0.0019869181724879947
0 G902782335 G902782335 0.0019869181724879947
0 G002999295 G002999295 0.0019869181724879947
0 G002804005 G002804005 0.0012827203976191065
0 G000760615 G000760615 0.0012827203976191065
0 G012934855 G012934855 0.0012827203976191065
0 G000970775 G000970775 0.0012827203976191065
0 G000967195 G000967195 0.0012827203976191065
0 G000026205 G000026205 0.0012827203976191065
0 G000434395 G000434395 0.001228216453547684
0 G001262055 G001262055 0.001228216453547684
0 G900094785 G900094785 0.001228216453547684
0 G000970735 G000970735 0.001228216453547684
0 G001179805 G001179805 0.001228216453547684
0 G000970395 G000970395 0.001228216453547684
0 G000177375 G000177375 0.001228216453547684
0 G001822505 G001822505 0.001228216453547684
0 G001821065 G001821065 0.001228216453547684
0 G000069925 G000069925 0.001228216453547684
0 G902769365 G902769365 0.001228216453547684
0 G000970855 G000970855 0.001228216453547684
0 G002441935 G002441935 0.001228216453547684
0 G000565215 G000565215 0.0009792013983224942
0 G000364865 G000364865 0.0009792013983224942
0 G000178475 G000178475 0.0009792013983224942
0 G004359375 G004359375 0.0009792013983224942
0 G000296505 G000296505 0.0009792013983224942
0 G002313405 G002313405 0.0009792013983224942
0 G001057055 G001057055 0.0009792013983224942
0 G000615445 G000615445 0.0006837040570909725
0 G001311375 G001311375 0.0006837040570909725
0 G000497815 G000497815 0.0006544133309316201
0 G000011985 G000011985 0.0006544133309316201
0 G000820625 G000820625 0.0006221109190476036
0 G001296945 G001296945 0.0006221109190476036
0 G000023765 G000023765 0.0006221109190476036
0 G000185045 G000185045 0.0006544133309316201
0 G001438695 G001438695 0.0006544133309316201
0 G001047095 G001047095 0.0006544133309316201
0 G001434335 G001434335 0.0006544133309316201
0 G012837435 G012837435 0.000293052035221458
0 G001311725 G001311725 0.000293052035221458
0 G902764365 G902764365 0.0006221109190476036
0 G902790955 G902790955 0.0006221109190476036
0 G001969535 G001969535 0.0006221109190476036
0 G000724755 G000724755 0.0006221109190476036
0 G000829355 G000829355 0.0006221109190476036
0 G001430705 G001430705 0.0006221109190476036
0 G000590865 G000590865 0.0006221109190476036
0 G000331975 G000331975 0.0006221109190476036
0 G000220255 G000220255 0.0006221109190476036
0 G000613785 G000613785 0.0006221109190476036
0 G902768035 G902768035 0.0006221109190476036
0 G004561075 G004561075 0.0006221109190476036
