id	observed	expected
G001824635	p__	p__PVC_group
G000382485	p__	p__Proteobacteria
G001801575	p__	p__Proteobacteria
G000762845	p__	p__Proteobacteria
G001427925	p__	p__Terrabacteria_group
G000382705	p__	p__Proteobacteria
G001485215	p__	p__Terrabacteria_group
G001444365	p__	p__Proteobacteria
G001932815	p__	p__Proteobacteria
G000204645	p__	p__Proteobacteria
G001796365	p__	p__Terrabacteria_group
G000203895	p__	p__Proteobacteria
G000855665	p__	p__Proteobacteria
G001983675	p__	p__Proteobacteria
G001698425	p__	p__Terrabacteria_group
G000737945	p__	p__Terrabacteria_group
G000603945	p__	p__Terrabacteria_group
G001784565	p__	p__Terrabacteria_group
G001418495	p__	p__Terrabacteria_group
G000168975	p__	p__Proteobacteria
G000988095	p__	p__Proteobacteria
G000426885	p__	p__Proteobacteria
G001013905	p__	p__Terrabacteria_group
G900061655	p__	p__Proteobacteria
G001769805	p__	p__Proteobacteria
G001782895	p__	p__Parcubacteria_group
G000759055	p__	p__Terrabacteria_group
G000015045	p__	p__Proteobacteria
G000017645	p__	p__Proteobacteria
G001787805	p__	p__Candidatus_Peregrinibacteria
G001562155	p__	p__Proteobacteria
G001690535	p__	p__Proteobacteria
G000745855	p__	p__Proteobacteria
G000768315	p__	p__Proteobacteria
G001425085	p__	p__Terrabacteria_group
G000231055	p__	p__Terrabacteria_group
G000010605	p__	p__Terrabacteria_group
G001876255	p__	p__Terrabacteria_group
G900104505	p__	p__Terrabacteria_group
G900106955	p__	p__Proteobacteria
G001602545	p__	p__Proteobacteria
G000613285	p__	p__Proteobacteria
G000705335	p__	p__Proteobacteria
G001932795	p__	p__Proteobacteria
G000372885	p__	p__Proteobacteria
G000015965	p__	p__Terrabacteria_group
G000420265	p__	p__Proteobacteria
G000968255	p__	p__Terrabacteria_group
G001510335	p__	p__Terrabacteria_group
G000744775	p__	p__Terrabacteria_group
G000332055	p__	p__Terrabacteria_group
G000013865	p__	p__Proteobacteria
G000297435	p__	p__Terrabacteria_group
G900105065	p__	p__Terrabacteria_group
G001422205	p__	p__Terrabacteria_group
G001427625	p__	p__Proteobacteria
G000184745	p__	p__Proteobacteria
G001678905	p__	p__Terrabacteria_group
G000760175	p__	p__Terrabacteria_group
G001806225	p__	p__Proteobacteria
G000744505	p__	p__Proteobacteria
G001038505	p__	p__Proteobacteria
G000621145	p__	p__Proteobacteria
G000007705	p__	p__Proteobacteria
G000828815	p__	p__ant,_tsetse,_mealybug,_aphid,_etc._endosymbionts
G000382005	p__	p__Proteobacteria
G000760255	p__	p__Terrabacteria_group
G001791305	p__	p__Parcubacteria_group
G000218565	p__	p__Proteobacteria
G001180065	p__	p__Proteobacteria
G000482245	p__	p__Terrabacteria_group
G001693435	p__	p__Proteobacteria
G001795115	p__	p__Terrabacteria_group
G002007645	p__	p__PVC_group
G001969485	p__	p__Terrabacteria_group
G000164695	p__	p__Terrabacteria_group
G000020685	p__	p__Terrabacteria_group
G001656255	p__	p__Proteobacteria
G001818435	p__	p__Parcubacteria_group
G001817385	p__	p__Parcubacteria_group
G001417815	p__	p__Terrabacteria_group
G000635535	p__	p__Terrabacteria_group
G001643095	p__	p__Proteobacteria
G001054945	p__	p__Terrabacteria_group
G000332975	p__	p__Terrabacteria_group
G000526695	p__	p__Proteobacteria
G000831005	p__	p__Proteobacteria
G000316625	p__	p__Terrabacteria_group
G000212335	p__	p__Proteobacteria
G001942495	p__	p__Terrabacteria_group
G001307765	p__	p__Proteobacteria
G000518365	p__	p__Proteobacteria
G000737845	p__	p__Terrabacteria_group
G000323785	p__	p__Proteobacteria
G001404695	p__	p__Terrabacteria_group
G001021085	p__	p__Proteobacteria
G000015645	p__	p__Terrabacteria_group
G000745265	p__	p__Proteobacteria
G000785705	p__	p__Proteobacteria
G000015725	p__	p__Proteobacteria
G001001845	p__	p__Parcubacteria_group
G001592125	p__	p__Terrabacteria_group
G000963965	p__	p__Proteobacteria
G001778455	p__	p__Candidatus_Fraserbacteria
G001904655	p__	p__Terrabacteria_group
G000383095	p__	p__Proteobacteria
G000531125	p__	p__Proteobacteria
G000438965	p__	p__Terrabacteria_group
G001306995	p__	p__Proteobacteria
G000741165	p__	p__Terrabacteria_group
G000671395	p__	p__Proteobacteria
G001798005	p__	p__Proteobacteria
G000312385	p__	p__Terrabacteria_group
G000159635	p__	p__Terrabacteria_group
G900142425	p__	p__Proteobacteria
G001417955	p__	p__Terrabacteria_group
G000009705	p__	p__Terrabacteria_group
G000196615	p__	p__Proteobacteria
G000634615	p__	p__Terrabacteria_group
