G012985225	G012985225_Myx
G003612075	G003612075_Myx
G013155175	G013155175_Myx
G003668955	G003668955_Myx
G003986945	G003986945_Myx
G003668965	G003668965_Myx
G003668935	G003668935_Myx
G012985235	G012985235_Myx
G013155575	G013155575_Myx
G013155195	G013155195_Myx
G013248915	G013248915_Myx
G017302975	G017302975_Myx
G013248865	G013248865_Myx
G003612255	G003612255_Myx
G009909105	G009909105_Myx
G006376655	G006376655_Myx
G903858265	G903858265_Myx
G903860385	G903860385_Myx
G903884195	G903884195_Myx
G903883645	G903883645_Myx
G903874695	G903874695_Myx
G903880045	G903880045_Myx
G903857975	G903857975_Myx
G903878715	G903878715_Myx
G903876705	G903876705_Myx
G903906555	G903906555_Myx
G903852525	G903852525_Myx
G000278585	G000278585_Myx
G013116805	G013116805_Myx
G016698685	G016698685_Myx
G006518205	G006518205_Myx
G015775755	G015775755_Myx
G000012685	G000012685_Myx
G018517205	G018517205_Myx
G000340515	G000340515_Myx
G900106535	G900106535_Myx
G006401635	G006401635_Myx
G903902565	G903902565_Myx
G903835925	G903835925_Myx
G903908935	G903908935_Myx
G903919305	G903919305_Myx
G903884795	G903884795_Myx
G903885375	G903885375_Myx
G903916655	G903916655_Myx
G903902615	G903902615_Myx
G903876335	G903876335_Myx
G903820515	G903820515_Myx
G010998615	G010998615_Myx
G013116835	G013116835_Myx
G006518195	G006518195_Myx
G006547325	G006547325_Myx
G010279825	G010279825_Myx
G010998655	G010998655_Myx
G006519765	G006519765_Myx
G006519755	G006519755_Myx
G006547345	G006547345_Myx
G004283055	G004283055_Myx
G018678325	G018678325_Myx
G013001375	G013001375_Myx
G018679225	G018679225_Myx
G013043065	G013043065_Myx
G013042435	G013042435_Myx
G013042225	G013042225_Myx
G018678375	G018678375_Myx
G903870665	G903870665_Myx
G903928185	G903928185_Myx
G903887475	G903887475_Myx
G903923475	G903923475_Myx
G903842905	G903842905_Myx
G903929795	G903929795_Myx
G903825385	G903825385_Myx
G016702865	G016702865_Myx
G016714965	G016714965_Myx
G016706685	G016706685_Myx
G016704065	G016704065_Myx
G017999255	G017999255_Myx
G016708135	G016708135_Myx
