SequenceName	ClusterNumber
G000830295	-1
G000830275	1
G000402355	1
G001940755	2
G001940725	2
G001940655	-1
G001940645	-1
G002009975	3
G000725425	3
G000215995	3
G000966265	3
G000517445	3
G000151105	3
G001433455	3
G001317345	3
G000007305	3
G000275605	3
G000258515	3
G000022545	3
G001507935	3
G000430485	3
G001484685	3
G000246985	3
G000195935	3
G000263735	3
G000018365	3
G001647085	3
G001508175	3
G001508065	3
G000211475	3
G000011105	3
G001577775	3
G900012635	3
G900109425	3
G001418715	3
G000265525	3
G000009965	3
G001592435	3
G000221185	3
G001484195	3
G000816105	3
G000769655	3
G000585495	3
G000022365	3
G000151205	3
G001587675	4
G001587605	4
G001587715	4
G001587595	4
G001587635	4
G001587655	4
G001587575	4
G001587695	4
G001593925	5
G001593935	5
G001273385	5
G001399795	5
G001399805	5
G001920655	6
G001918765	6
G001919285	6
G001919175	6
G001918745	6
G001918315	6
G001920575	6
G001915065	6
G001775955	7
G001273495	7
G001768965	-1
G001593865	-1
G001774245	8
G001577155	8
G001776015	8
G001775965	8
G001920395	9
G001917505	9
G000685395	9
G001918475	9
G001917995	9
G000955905	9
G000723185	9
G001443365	9
G000484935	9
G000200715	9
G000399765	9
G000402075	9
G001510295	9
G000812185	9
G001627075	9
G001627095	9
G000220175	9
G001627235	9
G001627015	9
G000204585	9
G000241145	9
G001510275	9
G000484975	9
G001541925	9
G000875775	9
G000018465	9
G001510225	9
G001674955	9
G000956175	9
G000242875	9
G000299395	9
G000328945	9
G000299365	9
G000724145	9
G001438895	9
G001437625	9
G000722915	9
G000746745	9
G000746765	9
G001870125	10
G000802205	10
G000730285	10
G000698785	10
G000303155	10
G001918455	10
G001917965	10
G001830115	-1
G001717015	11
G001717025	11
G001717005	11
G001717035	11
G000405685	12
G000270325	12
G000960885	13
G000015805	13
G000253055	13
G000193375	13
G001189275	13
G001516665	13
G001516655	13
G000015205	13
G000019805	13
G000007225	13
G000234805	13
G000016385	13
G000247545	13
G000011125	14
G000317795	14
G001316065	14
G000591035	14
G000144915	14
G000495695	14
G000495675	14
G000495715	14
G000495735	14
G000258425	-1
G000092465	15
G000015945	15
G000264495	15
G000092185	15
G000186365	15
G001006085	15
G000231015	15
G000513855	15
G000020905	15
G000223395	16
G000015145	16
G001412615	16
G001462395	16
G001481685	17
G000017945	17
G000389735	18
G000011205	18
G001560165	18
G000243315	18
G001316045	18
G001316085	18
G001719125	18
G000632495	18
G000213215	18
G000961135	18
G000565255	18
G000204925	18
G001560115	18
G001315825	18
G001560285	18
G001560765	18
G000747605	18
G000007005	18
G900079115	18
G000175555	18
G000022485	18
G001560275	18
G001560125	18
G001481595	18
G001560675	18
G000968395	18
G000022465	18
G000189555	18
G001560435	18
G001560065	18
G001560605	18
G000012285	18
G001266655	18
G001266675	18
G001266695	18
G000024745	18
G000024305	18
G000022385	18
G000189575	18
G000364745	18
G000022405	18
G001560245	18
G000338775	18
G000340315	18
G001560565	18
G001266715	18
G000968435	18
G000968355	18
G000245095	18
G000245155	18
G000245115	18
G001560795	18
G001560485	18
G001560635	18
G001560375	18
G001560205	18
G001266735	18
G000016605	18
G000022445	18
G000245215	18
G000245255	18
G000245275	18
G001560515	18
G000022425	18
G000245135	18
G000245195	18
G001481635	18
G001560725	18
G001560405	18
G001560555	18
G001560715	18
G001560835	18
G001560465	18
G000245175	18
G000245235	18
G001560525	18
G001560315	18
G001560135	18
G001560815	18
G001560085	18
G001559985	18
G001559975	18
G001560595	18
G001560355	18
G001560755	18
G001560195	18
G001560035	18
G001560685	18
G001560045	18
G001560645	18
G001559965	18
G001560455	18
G001560215	18
G001559955	18
G001560305	18
G001516585	19
G001748385	19
G000018305	19
G001516725	19
G001663375	19
G001515905	19
G001516745	19
G001516705	19
G001316025	19
G000190315	19
G001316245	19
G001316285	19
G001316005	19
G001316125	19
G001316265	19
G001315985	19
G001316145	19
G000148385	19
G000145985	-1
G000375685	20
G000399825	20
G000402095	20
G000405885	20
G000398765	20
G000494205	20
G000380705	20
G000993805	21
G000015225	21
G000446015	21
G000813245	21
G000019605	-1
G002011075	-1
G001940665	-1
G002011035	22
G002009985	22
G001563325	23
G001563335	23
G001940705	23
G001742785	24
G001723845	24
G001723835	24
G001723855	24
G000166095	25
G001507955	25
G900095815	25
G000513315	25
G000145295	25
G000012545	25
G001729395	25
G000828575	25
G000008645	25
G000404165	25
G000621965	25
G000024185	25
G001729285	25
G000745485	25
G000214725	25
G001639275	25
G000191585	25
G000744455	25
G000302455	25
G000309865	25
G000499765	25
G001548675	25
G001477655	25
G000190095	25
G000016525	25
G001316325	25
G000190155	25
G000190135	25
G000824705	25
G000437055	25
G000762265	25
G001458655	25
G001509005	25
G000953115	25
G000092305	26
G000024625	26
G000243455	26
G000214415	26
G000363885	26
G000371805	26
G000023985	26
G000017185	26
G000179575	26
G000739065	26
G000376965	26
G002009965	26
G000006175	26
G000091665	26
G000025525	26
G000017165	26
G000220645	26
G000017225	26
G000018485	26
G000007185	-1
G001873845	-1
G000246735	27
G001628435	27
G001629205	27
G001628475	27
G001629165	27
G001628455	27
G001628485	27
G001629245	27
G001629155	27
G001629185	27
G001629235	27
G001629255	27
G001629295	27
G000496135	28
G900090055	28
G001856845	28
G000965745	28
G000447225	28
G000195915	28
G000011185	28
G000008265	29
G000152265	29
G001316225	29
G001402945	29
G001399695	29
G001402935	29
G000949015	29
G001856825	-1
G001421175	30
G000800805	30
G001563305	30
G001560915	30
G000350305	30
G001481295	30
G000437835	30
G000300255	30
G001800735	31
G001800815	31
G001800675	31
G000404225	31
G000308215	31
G001512965	31
G001421185	31
G001595875	32
G001595945	32
G002011395	33
G000327505	33
G000025665	33
G001875345	34
G001875425	34
G001305655	35
G001767315	35
G000474235	35
G000496195	35
G000069025	35
G001488575	35
G000230955	35
G000427685	35
G000196895	35
G000403645	35
G000334895	35
G000336675	35
G000026045	35
G000591055	35
G000710615	35
G000376445	35
G900103505	35
G000283335	35
G001469955	35
G000495475	35
G900129775	35
G000224475	35
G001564175	35
G000336915	35
G000336935	35
G000755245	35
G000415945	35
G000337515	35
G000336755	35
G000739555	35
G001282785	35
G000496235	35
G000416045	35
G000336715	35
G000336695	35
G900100385	35
G000755225	35
G900110215	35
G001469865	35
G900100875	35
G000739575	35
G001563795	35
G900109065	35
G000416025	35
